Week,Fabric Type,Sales Volume
2023-12-31,Chiffon,124.0
2024-01-31,Chiffon,128.0
2024-02-29,Chiffon,149.5
2024-03-31,Chiffon,158.8
2024-04-30,Chiffon,157.0
2024-05-31,Chiffon,144.0
2024-06-30,Chiffon,148.8
2024-07-31,Chiffon,144.5
2024-08-31,Chiffon,134.5
2024-09-30,Chiffon,156.4
2024-10-31,Chiffon,137.0
2024-11-30,Chiffon,114.0
2024-12-31,Chiffon,112.8
2025-01-31,Chiffon,124.0
2025-02-28,Chiffon,128.0
2025-03-31,Chiffon,149.5
2025-04-30,Chiffon,158.8
2025-05-31,Chiffon,157.0
2025-06-30,Chiffon,144.0
2025-07-31,Chiffon,148.8
2025-08-31,Chiffon,144.5
2025-09-30,Chiffon,134.5
2025-10-31,Chiffon,156.4
2025-11-30,Chiffon,137.0
2025-12-31,Chiffon,114.0
2026-01-31,Chiffon,112.8
2026-02-28,Chiffon,124.0
2026-03-31,Chiffon,128.0
2026-04-30,Chiffon,149.5
2026-05-31,Chiffon,158.8
2026-06-30,Chiffon,157.0
2026-07-31,Chiffon,144.0
2026-08-31,Chiffon,148.8
2026-09-30,Chiffon,144.5
2026-10-31,Chiffon,134.5
2026-11-30,Chiffon,156.4
2026-12-31,Chiffon,137.0
2027-01-31,Chiffon,114.0
2027-02-28,Chiffon,112.8
2027-03-31,Chiffon,124.0
2027-04-30,Chiffon,128.0
2027-05-31,Chiffon,149.5
2027-06-30,Chiffon,158.8
2027-07-31,Chiffon,157.0
2027-08-31,Chiffon,144.0
2027-09-30,Chiffon,148.8
2027-10-31,Chiffon,144.5
2027-11-30,Chiffon,134.5
2023-12-31,Twill,114.0
2024-01-31,Twill,125.5
2024-02-29,Twill,121.5
2024-03-31,Twill,145.2
2024-04-30,Twill,126.5
2024-05-31,Twill,130.0
2024-06-30,Twill,108.8
2024-07-31,Twill,122.0
2024-08-31,Twill,130.0
2024-09-30,Twill,116.8
2024-10-31,Twill,133.5
2024-11-30,Twill,142.5
2024-12-31,Twill,138.0
2025-01-31,Twill,114.0
2025-02-28,Twill,125.5
2025-03-31,Twill,121.5
2025-04-30,Twill,145.2
2025-05-31,Twill,126.5
2025-06-30,Twill,130.0
2025-07-31,Twill,108.8
2025-08-31,Twill,122.0
2025-09-30,Twill,130.0
2025-10-31,Twill,116.8
2025-11-30,Twill,133.5
2025-12-31,Twill,142.5
2026-01-31,Twill,138.0
2026-02-28,Twill,114.0
2026-03-31,Twill,125.5
2026-04-30,Twill,121.5
2026-05-31,Twill,145.2
2026-06-30,Twill,126.5
2026-07-31,Twill,130.0
2026-08-31,Twill,108.8
2026-09-30,Twill,122.0
2026-10-31,Twill,130.0
2026-11-30,Twill,116.8
2026-12-31,Twill,133.5
2027-01-31,Twill,142.5
2027-02-28,Twill,138.0
2027-03-31,Twill,114.0
2027-04-30,Twill,125.5
2027-05-31,Twill,121.5
2027-06-30,Twill,145.2
2027-07-31,Twill,126.5
2027-08-31,Twill,130.0
2027-09-30,Twill,108.8
2027-10-31,Twill,122.0
2027-11-30,Twill,130.0
2023-12-31,acrylic,96.0
2024-01-31,acrylic,112.5
2024-02-29,acrylic,107.0
2024-03-31,acrylic,94.0
2024-04-30,acrylic,100.0
2024-05-31,acrylic,101.0
2024-06-30,acrylic,102.8
2024-07-31,acrylic,102.0
2024-08-31,acrylic,117.5
2024-09-30,acrylic,128.0
2024-10-31,acrylic,166.5
2024-11-30,acrylic,137.5
2024-12-31,acrylic,146.4
2025-01-31,acrylic,96.0
2025-02-28,acrylic,112.5
2025-03-31,acrylic,107.0
2025-04-30,acrylic,94.0
2025-05-31,acrylic,100.0
2025-06-30,acrylic,101.0
2025-07-31,acrylic,102.8
2025-08-31,acrylic,102.0
2025-09-30,acrylic,117.5
2025-10-31,acrylic,128.0
2025-11-30,acrylic,166.5
2025-12-31,acrylic,137.5
2026-01-31,acrylic,146.4
2026-02-28,acrylic,96.0
2026-03-31,acrylic,112.5
2026-04-30,acrylic,107.0
2026-05-31,acrylic,94.0
2026-06-30,acrylic,100.0
2026-07-31,acrylic,101.0
2026-08-31,acrylic,102.8
2026-09-30,acrylic,102.0
2026-10-31,acrylic,117.5
2026-11-30,acrylic,128.0
2026-12-31,acrylic,166.5
2027-01-31,acrylic,137.5
